OLD AGE ANALYTICS — 63 open PRs, death cap = 1/day
(effective probability from 10,000 Monte Carlo simulations)

    PR   Age   Int    Raw%    Eff%        Risk  Title
——————  ————  ————  ——————  ——————  ——————————  ————————————————————————————————————————
#  84    35d     5   90.2%   4.88%      DANGER  Add auto-refresh for PR data [!]
#  79    35d     8   84.8%   4.65%      DANGER  Show PR author stats [!]
#  82    35d     7   86.4%   4.45%      DANGER  Add emoji scoring and counts to PR cards [!]
#  61    36d    21   76.5%   4.32%      DANGER  feat: introduce chaotic website layout [!]
#  46    39d    27   84.2%   4.27%      DANGER  🧠 Make sure the title fizzbuzzes [!]
#   5    40d    61   76.8%   4.15%      DANGER  added informative video 😁 [!]
#  93    32d     8   74.1%   4.14%      DANGER  Add one big & one small PR rule [!]
#  12    40d   105   69.2%   4.01%      DANGER  Add 17 languages and a snow overlay [!]
#  92    32d    13   68.4%   4.00%      DANGER  Instant Override Merge - PRs exceeding last merg [!]
#  15    40d    84   72.3%   3.86%      DANGER  Visibility boost to PRs by users with previous m [!]
# 102    28d     3   70.7%   3.72%      DANGER  Bad Apple but it is openchaos (edit: now that th [!]
#  87    34d    33   63.7%   3.41%      DANGER  Chore: adds Konami Code [!]
#  68    36d    53   64.4%   3.40%      DANGER  Implement asteroids on the homepage [!]
# 123    26d     8   54.6%   2.90%      DANGER  Add Retro BSOD [!]
# 114    27d    20   47.5%   2.87%      DANGER  Adding DVD-Player to make it more chaos :) [!]
# 125    26d    11   51.2%   2.62%      DANGER  add mad Chaos Points [!]
# 118    26d    13   49.4%   2.50%      DANGER  Add countdown to page title [!]
# 106    27d    20   47.5%   2.49%      DANGER  ci: Replace eslint with Biome.js and introduce L [!]
# 131    24d    10   46.4%   2.36%      DANGER  Add dynamic retro marquee title animation [!]
# 104    27d    37   40.4%   2.34%      DANGER  Fix link to the wrong repository [!]
# 141    20d     9   36.8%   2.17%      DANGER  IE6BrowserChrome.tsx: open skridlevsky/openchaos [!]
# 140    21d     9   39.3%   2.08%      DANGER  add rick roll [!]
# 146    19d     9   34.3%   2.04%      DANGER  XP error dialogs are new, and a Start Menu too [!]
# 117    26d    53   33.4%   1.77%     AT RISK  Every midnight, the system randomly picks 2 emoj [!]
# 166    15d     6   28.9%   1.76%     AT RISK  reduce colors to 256, uglifyies entire page [!]
# 149    18d    11   30.0%   1.60%     AT RISK  allow owner's PRs into the Hall of Chaos [!]
# 147    18d    13   28.4%   1.58%     AT RISK  69 > 67 [!]
# 157    16d     5   32.6%   1.55%     AT RISK  Create voting SSOT module and fix automerge bugs [!]
# 152    16d    12   24.8%   1.46%     AT RISK  📈👁️📈 Makes the pageview counter actually keep tr [!]
# 180    12d     5   24.5%   1.44%     AT RISK  feat: Add Chaos Button for Maximum Destruction [!]
# 164    15d     8   26.4%   1.41%     AT RISK  randomize visitor counter to make it useless/cha [!]
# 156    16d     7   29.7%   1.41%     AT RISK  Clarify that RULES.md is deprecated and README c [!]
# 165    15d     6   28.9%   1.38%     AT RISK  Make minimize button functional [!]
# 170    14d    13   20.0%   1.11%     AT RISK  Replace "nothing" with a secret page [!]
# 158    16d    25   17.7%   0.84%     AT RISK  feat: add weekly workflow to close oldest open P [!]
# 188     6d     5   15.5%   0.79%     AT RISK  GitHub's rate limits can go eat a bag of dickbut [!]
# 167    15d    38   11.7%   0.74%     AT RISK  REWRITE IT IN RUST: because we must [!]
#  45    40d    30   12.3%   0.67%     AT RISK  F, At least I tried
#  70    36d    26    9.7%   0.54%     AT RISK  When the world's in disarray, this banner has so
#  72    36d    33    9.1%   0.45%         LOW  should have a devcontainer, in case of a malicio
#  94    32d    20    7.6%   0.42%         LOW  Revert "Rewrite it in rust (#13)"
#  95    32d    15    8.3%   0.40%         LOW  On app start, log Guy Fieri ASCII art
# 111    27d     8    6.5%   0.31%         LOW  Add action to set repository name to rustychaos
# 137    22d     6    4.2%   0.29%         LOW  Bringing back democracy
# 133    23d    14    3.0%   0.17%         LOW  Make fishies scatter from the cursor’s splatter!
# 155    16d     5    1.5%   0.11%         LOW  Branch protection test. Educational purposes 👀
# 115    26d    18    4.1%   0.11%         LOW  Upgrade Midi Player — make it a GTA radio slayer
# 160    16d     9    0.5%   0.03%         LOW  Add robots.txt to block the bot flock
# 181    12d     3    0.7%   0.01%         LOW  feat: Add daily automated PR review bot
# 161    16d     9    0.5%   0.01%         LOW  Fix auto-merge: skip the unmergeable surge
# 143    20d    22    0.5%   0.01%         LOW  Chaos N: random themes for chaotic dreams
# 193     0d     2    0.0%   0.00%        SAFE  Type a command and take a stand, the chaos termi
# 192     0d     1    0.0%   0.00%        SAFE  Make it go whrrr (not brrr)
# 191     0d     2    0.0%   0.00%        SAFE  bonzi scheme meme
# 190     2d     4    0.0%   0.00%        SAFE  konami meow
# 187     7d    10    0.0%   0.00%        SAFE  Cat and Scat 🐱
# 185    11d    28    0.0%   0.00%        SAFE  Add old-age death: PRs take their final breath
# 184    12d    15    0.0%   0.00%        SAFE  Vote integrity inspection for bait-and-switch de
# 183    12d     8    0.0%   0.00%        SAFE  Decimate: Alea Iacta Est, put your PRs to the te
# 182    12d     9    0.0%   0.00%        SAFE  RULES.md is optional. CODE IS LAW
# 168    15d     9    0.1%   0.00%         LOW  Mergeability detection for automerge correction
# 163    16d    22    0.0%   0.00%        SAFE  Web 2.0 joins the fray, ASCII's here to stay
# 159    16d    18    0.0%   0.00%        SAFE  🔥🎰 00 BOUNTY HUNT! Random Upvoter Wins! 🎰🔥
